f_Hz_Median,ICI,num_Clicks,var_RI
 6624.00,  0.1103516, 74,  0.0000153
 5576.00,  0.1175842, 9,  0.0000152
 6320.00,  0.2335205, 12,  0.0000152
 6616.00,  0.1552124, 26,  0.0000152
 6608.00,  0.1561584, 45,  0.0000118
 6592.00,  0.1010437, 101,  0.0000118
 6608.00,  0.0805664, 217,  0.0000157
 5568.00,  0.0400696, 43,  0.0000119
 5576.00,  0.0856323, 39,  0.0000119
 6304.00,  0.1186523, 32,  0.0000119
 6608.00,  0.0581970, 257,  0.0000119
 6608.00,  0.3992920, 22,  0.0000153
 6608.00,  0.1477051, 100,  0.0000116
 6608.00,  0.0724487, 83,  0.0000156
 6592.00,  0.3414917, 22,  0.0000156
 5824.00,  0.2302856, 20,  0.0000153
 6624.00,  0.1785889, 29,  0.0000153
 5256.00,  0.1842041, 20,  0.0000119
 5232.00,  0.1452637, 40,  0.0000119
 6624.00,  0.0770264, 46,  0.0000155
 5240.00,  0.0694885, 35,  0.0000119
 6624.00,  0.0158386, 255,  0.0000121
 6616.00,  0.0949707, 35,  0.0000158
 6680.00,  0.0944214, 30,  0.0000158
 6256.00,  0.1691895, 8,  0.0000117
 6608.00,  0.0950317, 46,  0.0000150
 6264.00,  0.0602417, 21,  0.0000114
 6624.00,  0.1478882, 11,  0.0000114
 6608.00,  0.1923218, 10,  0.0000148
 6632.00,  0.1647949, 57,  0.0000148
 6560.00,  0.0892334, 9,  0.0000112
 6624.00,  0.0618286, 12,  0.0000146
 6200.00,  0.0616760, 21,  0.0000146
 7896.00,  0.0043335, 9,  0.0000146
 4960.00,  0.0039063, 66,  0.0000112
 6424.00,  0.0700073, 25,  0.0000146
 6616.00,  0.0717468, 47,  0.0000146
 9008.00,  0.0614929, 81,  0.0000146
 6632.00,  0.0638123, 11,  0.0000111
 6248.00,  0.0625916, 15,  0.0000111
 6616.00,  0.3554382, 9,  0.0000141
 7752.00,  0.0045776, 27,  0.0000113
 6624.00,  0.0035400, 62,  0.0000151
 6616.00,  0.3414612, 17,  0.0000150
 8008.00,  0.0032349, 65,  0.0000128
 9152.00,  0.0033569, 210,  0.0000128
 6616.00,  0.0032959, 34,  0.0000153
 8720.00,  0.0030518, 12,  0.0000153
 5472.00,  0.0037231, 87,  0.0000153
 7248.00,  0.0052490, 23,  0.0000110
 6616.00,  0.1127319, 16,  0.0000090
 6632.00,  0.1437988, 11,  0.0000127
 6400.00,  0.1340942, 14,  0.0000128
 5376.00,  0.0034180, 8,  0.0000508
 4096.00,  0.0041504, 12,  0.0000616
 4120.00,  0.0043945, 11,  0.0000616
 4096.00,  0.0046692, 9,  0.0000542
 5248.00,  0.0063477, 13,  0.0000486
 6624.00,  0.0039673, 8,  0.0000533
 6408.00,  0.1456604, 39,  0.0000103
 5600.00,  0.1509399, 33,  0.0000147
 6608.00,  0.1376648, 25,  0.0000127
 8304.00,  0.0424194, 54,  0.0000084
 6640.00,  0.0454712, 57,  0.0000120
 8336.00,  0.1063232, 23,  0.0000124
 6496.00,  0.0043945, 35,  0.0000124
 6696.00,  0.1451721, 15,  0.0000088
 6352.00,  0.0056763, 12,  0.0000136
 6656.00,  0.0036011, 34,  0.0000136
 6616.00,  0.0033569, 66,  0.0000136
 4832.00,  0.0033569, 84,  0.0000136
 8344.00,  0.0035706, 75,  0.0000142
 6136.00,  0.0036621, 47,  0.0000142
 6616.00,  0.0035400, 76,  0.0000142
 6600.00,  0.0050049, 40,  0.0000142
 4984.00,  0.0033569, 124,  0.0000142
 8832.00,  0.0034790, 26,  0.0000142
 6576.00,  0.0176697, 9,  0.0000103
 6176.00,  0.0052490, 21,  0.0000103
 6528.00,  0.0040283, 68,  0.0000103
 6600.00,  0.0043030, 95,  0.0000103
 8664.00,  0.0033569, 39,  0.0000105
 8656.00,  0.0032654, 13,  0.0000105
 6640.00,  0.0036926, 33,  0.0000105
 5736.00,  0.0042725, 23,  0.0000105
 6248.00,  0.0034790, 56,  0.0000155
 6368.00,  0.0037842, 77,  0.0000155
 6560.00,  0.0037842, 61,  0.0000155
 4824.00,  0.0042725, 37,  0.0000155
 8896.00,  0.0034180, 74,  0.0000155
 6272.00,  0.0045166, 15,  0.0000155
 6200.00,  0.0035400, 27,  0.0000179
 6328.00,  0.0033569, 106,  0.0000179
 6616.00,  0.0040894, 24,  0.0000179
 5744.00,  0.0034790, 177,  0.0000179
 4808.00,  0.0032349, 114,  0.0000179
 6616.00,  0.0036011, 150,  0.0000179
 6528.00,  0.0039673, 106,  0.0000179
 6208.00,  0.0045166, 116,  0.0000179
 4472.00,  0.0065308, 8,  0.0000218
 6600.00,  0.1469727, 15,  0.0000348
 6616.00,  0.0561523, 14,  0.0000280
 6472.00,  0.0574036, 23,  0.0000253
 6608.00,  0.0110779, 9,  0.0000228
 6280.00,  0.0067139, 8,  0.0000234
 6624.00,  0.0035400, 10,  0.0000254
 6624.00,  0.2963867, 9,  0.0000288
 6280.00,  0.2022095, 15,  0.0000274
 5624.00,  0.0034180, 20,  0.0000316
 6600.00,  0.2140503, 12,  0.0000139
 6432.00,  0.1553955, 8,  0.0000000
 4536.00,  0.0050354, 9,  0.0004069
 6624.00,  0.1293335, 62,  0.0000127
 6608.00,  0.1356201, 43,  0.0000171
 7144.00,  0.0114746, 54,  0.0000124
 6616.00,  0.1193237, 92,  0.0000126
 6936.00,  0.1658325, 10,  0.0000169
 6608.00,  0.0804443, 46,  0.0000170
 6624.00,  0.0822754, 86,  0.0000170
 6328.00,  0.0490417, 83,  0.0000127
 6608.00,  0.1736450, 8,  0.0000093
 6608.00,  0.0214539, 15,  0.0000293
 6056.00,  0.1093140, 8,  0.0000239
 6608.00,  0.1220093, 8,  0.0000219
 6624.00,  0.1110229, 8,  0.0000255
 6624.00,  0.0062256, 22,  0.0000205
 6624.00,  0.1578979, 20,  0.0000193
 5208.00,  0.1211548, 35,  0.0000193
 6640.00,  0.1259766, 28,  0.0000193
 5728.00,  0.0896301, 31,  0.0000196
 6616.00,  0.1241455, 36,  0.0000233
 6824.00,  0.1250000, 8,  0.0000233
 4448.00,  0.0717468, 9,  0.0000239
 5208.00,  0.0037231, 12,  0.0003528
 6616.00,  0.1337280, 22,  0.0000102
 4216.00,  0.0456543, 13,  0.0000104
 6600.00,  0.1136169, 21,  0.0000103
 5736.00,  0.0925293, 18,  0.0000103
 6616.00,  0.0225220, 187,  0.0000101
 6624.00,  0.3142090, 18,  0.0000146
 6616.00,  0.5939331, 62,  0.0000095
 5848.00,  0.5143433, 8,  0.0000125
 6616.00,  0.4829102, 8,  0.0000095
 6368.00,  0.4950562, 11,  0.0000097
 6616.00,  0.1058350, 8,  0.0000077
 4888.00,  0.0061035, 2044,  0.0000602
 6592.00,  0.0150757, 820,  0.0001584
 4088.00,  0.0737915, 34,  0.0000551
 8856.00,  0.0649414, 9,  0.0000113
 6616.00,  0.0111084, 64,  0.0000095
 8664.00,  0.0872192, 24,  0.0000096
 6616.00,  0.0960693, 62,  0.0000096
 6608.00,  0.1382141, 105,  0.0000096
 4144.00,  0.0932007, 10,  0.0000098
 6616.00,  0.1604004, 78,  0.0000087
 6616.00,  0.1557007, 94,  0.0000087
 6616.00,  0.1732178, 102,  0.0000121
 6624.00,  0.1759338, 79,  0.0000088
 8280.00,  0.1134644, 29,  0.0000086
 6608.00,  0.1515808, 69,  0.0000086
 6608.00,  0.1474609, 28,  0.0000102
 6384.00,  0.1389771, 35,  0.0000099
 6616.00,  0.1370239, 25,  0.0000093
 6624.00,  0.1027527, 157,  0.0000093
 6616.00,  0.1193848, 18,  0.0000128
 8664.00,  0.0561523, 83,  0.0000128
 6184.00,  0.1856995, 9,  0.0000077
 5432.00,  0.2332153, 10,  0.0000085
 6624.00,  0.1161499, 14,  0.0000086
 6616.00,  0.0957642, 16,  0.0000128
 6608.00,  0.1606445, 11,  0.0000128
 6608.00,  0.1107788, 32,  0.0000116
 6616.00,  0.0966797, 126,  0.0000121
 6616.00,  0.0234985, 182,  0.0000088
 6200.00,  0.3670654, 10,  0.0000081
 6448.00,  0.0116272, 53,  0.0000077
 6096.00,  0.1049805, 30,  0.0000077
 6096.00,  0.0915527, 46,  0.0000081
 6112.00,  0.0436401, 222,  0.0000081
 6016.00,  0.1074219, 84,  0.0000118
 6104.00,  0.0362854, 77,  0.0000118
 6008.00,  0.1281738, 26,  0.0000080
 5792.00,  0.0047302, 9,  0.0000076
 7664.00,  0.0941467, 39,  0.0000111
 6608.00,  0.1120300, 67,  0.0000123
 6216.00,  0.1047974, 20,  0.0000085
 6616.00,  0.0054321, 46,  0.0000112
 6616.00,  0.0334473, 23,  0.0000236
 4136.00,  0.0042419, 65,  0.0000690
 6304.00,  0.0033569, 8,  0.0000440
 5960.00,  0.0032959, 14,  0.0000440
 6624.00,  0.0032959, 10,  0.0000440
 6616.00,  0.0035706, 9,  0.0000509
 4464.00,  0.0032959, 24,  0.0000509
 4176.00,  0.0036621, 12,  0.0000509
 4344.00,  0.0030518, 8,  0.0000554
 4400.00,  0.0036011, 10,  0.0000554
 6632.00,  0.0032959, 10,  0.0000552
 4624.00,  0.0030518, 14,  0.0000547
 4360.00,  0.0043335, 8,  0.0000540
 4160.00,  0.0037842, 10,  0.0000475
 5584.00,  0.0032959, 8,  0.0000468
 4408.00,  0.0035400, 8,  0.0000468
 4464.00,  0.3516846, 9,  0.0000258
 6624.00,  0.3208008, 8,  0.0000188
 6608.00,  0.1372070, 51,  0.0000107
 6608.00,  0.0866089, 13,  0.0000150
 6112.00,  0.1305237, 9,  0.0000150
 6328.00,  0.3236084, 8,  0.0000109
